Country,Code,2000,2010,2015,2016
America,USA,10.25,14.99,18.24,18.75
China,CHN,1.211,6.087,11.06,11.23
Tuvalu,TUV,0.00001374,0.00003182,0.00003549,0.00003655
Australia,AUS,0.4152,1.146,1.352,1.609
